sess_id,seqnum,tradedate,tradetime,ticker,clgroup,pos,pos_long,pos_short,pos_long_num,pos_short_num,systime,trade_session_date
6968,58,2024-01-11,23:50:00,Si,YUR,-76574,2408792,-2485366,253,149,2025-06-21 16:22:46,2024-01-11
6968,58,2024-01-11,23:50:00,Si,FIZ,76574,424002,-347428,8006,7980,2025-06-21 16:22:46,2024-01-11
6968,12,2024-01-11,20:00:00,Si,YUR,-78237,2406254,-2484491,254,148,2025-06-21 16:22:46,2024-01-11
6968,12,2024-01-11,20:00:00,Si,FIZ,78237,427141,-348904,8117,8094,2025-06-21 16:22:46,2024-01-11
6967,142,2024-01-11,16:00:00,Si,YUR,-91748,2417474,-2509222,250,162,2025-06-21 16:22:46,2024-01-11
6967,142,2024-01-11,16:00:00,Si,FIZ,91748,421113,-329365,8314,7467,2025-06-21 16:22:46,2024-01-11
6967,95,2024-01-11,12:00:00,Si,YUR,-100681,2463231,-2563912,250,161,2025-06-21 16:22:46,2024-01-11
6967,95,2024-01-11,12:00:00,Si,FIZ,100681,423823,-323142,8144,7412,2025-06-21 16:22:46,2024-01-11
6973,57,2024-01-18,23:50:00,Si,YUR,-149071,2245899,-2394970,298,110,2025-06-21 16:22:46,2024-01-18
6973,57,2024-01-18,23:50:00,Si,FIZ,149071,468695,-319624,10038,6317,2025-06-21 16:22:46,2024-01-18
6973,11,2024-01-18,20:00:00,Si,YUR,-151124,2244345,-2395469,298,111,2025-06-21 16:22:46,2024-01-18
6973,11,2024-01-18,20:00:00,Si,FIZ,151124,471465,-320341,10211,6422,2025-06-21 16:22:46,2024-01-18
6972,145,2024-01-18,16:00:00,Si,YUR,-127008,2266995,-2394003,293,115,2025-06-21 16:22:46,2024-01-18
6972,145,2024-01-18,16:00:00,Si,FIZ,127008,458031,-331023,9061,7199,2025-06-21 16:22:46,2024-01-18
6972,97,2024-01-18,12:00:00,Si,YUR,-119124,2275362,-2394486,286,126,2025-06-21 16:22:46,2024-01-18
6972,97,2024-01-18,12:00:00,Si,FIZ,119124,452491,-333367,9013,7443,2025-06-21 16:22:46,2024-01-18
6963,59,2024-01-04,23:50:00,Si,YUR,-131896,2514691,-2646587,274,109,2025-06-21 16:22:46,2024-01-04
6963,59,2024-01-04,23:50:00,Si,FIZ,131896,406489,-274593,8298,4334,2025-06-21 16:22:46,2024-01-04
6963,13,2024-01-04,20:00:00,Si,YUR,-132074,2514671,-2646745,276,111,2025-06-21 16:22:46,2024-01-04
6963,13,2024-01-04,20:00:00,Si,FIZ,132074,407750,-275676,8365,4404,2025-06-21 16:22:46,2024-01-04
6962,143,2024-01-04,16:00:00,Si,YUR,-133180,2511122,-2644302,281,114,2025-06-21 16:22:46,2024-01-04
6962,143,2024-01-04,16:00:00,Si,FIZ,133180,418914,-285734,8905,4507,2025-06-21 16:22:46,2024-01-04
6962,96,2024-01-04,12:00:00,Si,YUR,-141882,2506564,-2648446,278,119,2025-06-21 16:22:46,2024-01-04
6962,96,2024-01-04,12:00:00,Si,FIZ,141882,425998,-284116,9066,4593,2025-06-21 16:22:46,2024-01-04
6974,57,2024-01-19,23:50:00,Si,YUR,-111198,2277329,-2388527,281,126,2025-06-21 16:22:46,2024-01-19
6974,57,2024-01-19,23:50:00,Si,FIZ,111198,458044,-346846,8585,8223,2025-06-21 16:22:46,2024-01-19
6974,11,2024-01-19,20:00:00,Si,YUR,-113180,2274653,-2387833,286,129,2025-06-21 16:22:46,2024-01-19
6974,11,2024-01-19,20:00:00,Si,FIZ,113180,462645,-349465,8763,8348,2025-06-21 16:22:46,2024-01-19
6973,142,2024-01-19,16:00:00,Si,YUR,-117408,2271594,-2389002,291,134,2025-06-21 16:22:46,2024-01-19
6973,142,2024-01-19,16:00:00,Si,FIZ,117408,463133,-345725,8997,8517,2025-06-21 16:22:46,2024-01-19
6973,94,2024-01-19,12:00:00,Si,YUR,-157817,2244659,-2402476,304,111,2025-06-21 16:22:46,2024-01-19
6973,94,2024-01-19,12:00:00,Si,FIZ,157817,472174,-314357,9785,6620,2025-06-21 16:22:46,2024-01-19
6975,57,2024-01-22,23:50:00,Si,YUR,-104150,2262376,-2366526,278,141,2025-06-21 16:22:46,2024-01-22
6975,57,2024-01-22,23:50:00,Si,FIZ,104150,469558,-365408,8617,7921,2025-06-21 16:22:46,2024-01-22
6975,11,2024-01-22,20:00:00,Si,YUR,-102311,2263113,-2365424,279,141,2025-06-21 16:22:46,2024-01-22
6975,11,2024-01-22,20:00:00,Si,FIZ,102311,473855,-371544,8817,8763,2025-06-21 16:22:46,2024-01-22
6974,141,2024-01-22,16:00:00,Si,YUR,-120732,2278329,-2399061,288,143,2025-06-21 16:22:46,2024-01-22
6974,141,2024-01-22,16:00:00,Si,FIZ,120732,481456,-360724,8889,8933,2025-06-21 16:22:46,2024-01-22
6974,94,2024-01-22,12:00:00,Si,YUR,-95047,2297018,-2392065,279,145,2025-06-21 16:22:46,2024-01-22
6974,94,2024-01-22,12:00:00,Si,FIZ,95047,465081,-370034,8681,8935,2025-06-21 16:22:46,2024-01-22
